id,order_number,short_description,long_description,formatted_icd10_code,FDN_parenticd10
S52043,,Displaced fracture of coronoid process of unspecified ulna,Displaced fracture of coronoid process of unspecified ulna,S52.043,S5204
S52043A,,"Disp fx of coronoid process of unsp ulna, init for clos fx","Displaced fracture of coronoid process of unspecified ulna, initial encounter for closed fracture",S52.043A,S5204
S52181S,,"Other fracture of upper end of right radius, sequela","Other fracture of upper end of right radius, sequela",S52.181S,S5218
S52043B,,"Disp fx of coronoid pro of unsp ulna, 7thB","Displaced fracture of coronoid process of unspecified ulna, initial encounter for open fracture type I or II",S52.043B,S5204
S52043C,,"Disp fx of coronoid pro of unsp ulna, 7thC","Displaced fracture of coronoid process of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52.043C,S5204
S52043D,,"Disp fx of coronoid pro of unsp ulna, 7thD","Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with routine healing",S52.043D,S5204
S52043E,,"Disp fx of coronoid pro of unsp ulna, 7thE","Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing",S52.043E,S5204
S52043F,,"Disp fx of coronoid pro of unsp ulna, 7thF","Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52.043F,S5204
S52101S,,"Unspecified fracture of upper end of right radius, sequela","Unspecified fracture of upper end of right radius, sequela",S52.101S,S5210
S52043G,,"Disp fx of coronoid pro of unsp ulna, 7thG","Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with delayed healing",S52.043G,S5204
S52043H,,"Disp fx of coronoid pro of unsp ulna, 7thH","Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type I or II with delayed healing",S52.043H,S5204
S52043J,,"Disp fx of coronoid pro of unsp ulna, 7thJ","Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S52.043J,S5204
S52043K,,"Disp fx of coronoid pro of unsp ulna, 7thK","Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with nonunion",S52.043K,S5204
S52043M,,"Disp fx of coronoid pro of unsp ulna, 7thM","Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type I or II with nonunion",S52.043M,S5204
S52043N,,"Disp fx of coronoid pro of unsp ulna, 7thN","Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52.043N,S5204
S52043P,,"Disp fx of coronoid pro of unsp ulna, 7thP","Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with malunion",S52.043P,S5204
S52043Q,,"Disp fx of coronoid pro of unsp ulna, 7thQ","Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type I or II with malunion",S52.043Q,S5204
S52043R,,"Disp fx of coronoid pro of unsp ulna, 7thR","Displaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S52.043R,S5204
S52043S,,"Disp fx of coronoid process of unspecified ulna, sequela","Displaced fracture of coronoid process of unspecified ulna, sequela",S52.043S,S5204
S52044A,,"Nondisp fx of coronoid process of right ulna, init","Nondisplaced fracture of coronoid process of right ulna, initial encounter for closed fracture",S52.044A,S5204
S52044B,,"Nondisp fx of coronoid pro of r ulna, 7thB","Nondisplaced fracture of coronoid process of right ulna, initial encounter for open fracture type I or II",S52.044B,S5204
S70319,,"Abrasion, unspecified thigh","Abrasion, unspecified thigh",S70.319,S7031
S52044C,,"Nondisp fx of coronoid pro of r ulna, 7thC","Nondisplaced fracture of coronoid process of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52.044C,S5204
S52044D,,"Nondisp fx of coronoid pro of r ulna, 7thD","Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for closed fracture with routine healing",S52.044D,S5204
S52044E,,"Nondisp fx of coronoid pro of r ulna, 7thE","Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type I or II with routine healing",S52.044E,S5204
S52044F,,"Nondisp fx of coronoid pro of r ulna, 7thF","Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52.044F,S5204
S52044G,,"Nondisp fx of coronoid pro of r ulna, 7thG","Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for closed fracture with delayed healing",S52.044G,S5204
S52044H,,"Nondisp fx of coronoid pro of r ulna, 7thH","Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type I or II with delayed healing",S52.044H,S5204
W5512XD,,"Struck by horse, subsequent encounter","Struck by horse, subsequent encounter",W55.12XD,W5512
S52044J,,"Nondisp fx of coronoid pro of r ulna, 7thJ","Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S52.044J,S5204
S52044K,,"Nondisp fx of coronoid pro of r ulna, 7thK","Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for closed fracture with nonunion",S52.044K,S5204
S52044M,,"Nondisp fx of coronoid pro of r ulna, 7thM","Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type I or II with nonunion",S52.044M,S5204
S53006,,Unspecified dislocation of unspecified radial head,Unspecified dislocation of unspecified radial head,S53.006,S5300
S52044N,,"Nondisp fx of coronoid pro of r ulna, 7thN","Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52.044N,S5204
S52044P,,"Nondisp fx of coronoid pro of r ulna, 7thP","Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for closed fracture with malunion",S52.044P,S5204
S52044Q,,"Nondisp fx of coronoid pro of r ulna, 7thQ","Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type I or II with malunion",S52.044Q,S5204
S52044R,,"Nondisp fx of coronoid pro of r ulna, 7thR","Nondisplaced fracture of coronoid process of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S52.044R,S5204
S52044S,,"Nondisp fx of coronoid process of right ulna, sequela","Nondisplaced fracture of coronoid process of right ulna, sequela",S52.044S,S5204
S52045,,Nondisplaced fracture of coronoid process of left ulna,Nondisplaced fracture of coronoid process of left ulna,S52.045,S5204
S52045B,,"Nondisp fx of coronoid pro of l ulna, 7thB","Nondisplaced fracture of coronoid process of left ulna, initial encounter for open fracture type I or II",S52.045B,S5204
S52281D,,"Bent bone of right ulna, subs for clos fx w routn heal","Bent bone of right ulna, subsequent encounter for closed fracture with routine healing",S52.281D,S5228
S52045C,,"Nondisp fx of coronoid pro of l ulna, 7thC","Nondisplaced fracture of coronoid process of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52.045C,S5204
S52045D,,"Nondisp fx of coronoid pro of l ulna, 7thD","Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for closed fracture with routine healing",S52.045D,S5204
S52045E,,"Nondisp fx of coronoid pro of l ulna, 7thE","Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with routine healing",S52.045E,S5204
S52045F,,"Nondisp fx of coronoid pro of l ulna, 7thF","Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52.045F,S5204
S52045G,,"Nondisp fx of coronoid pro of l ulna, 7thG","Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for closed fracture with delayed healing",S52.045G,S5204
S52045H,,"Nondisp fx of coronoid pro of l ulna, 7thH","Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with delayed healing",S52.045H,S5204
S52045J,,"Nondisp fx of coronoid pro of l ulna, 7thJ","Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S52.045J,S5204
S52045K,,"Nondisp fx of coronoid pro of l ulna, 7thK","Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for closed fracture with nonunion",S52.045K,S5204
S52045M,,"Nondisp fx of coronoid pro of l ulna, 7thM","Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with nonunion",S52.045M,S5204
S52045N,,"Nondisp fx of coronoid pro of l ulna, 7thN","Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52.045N,S5204
S52045P,,"Nondisp fx of coronoid pro of l ulna, 7thP","Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for closed fracture with malunion",S52.045P,S5204
S52045Q,,"Nondisp fx of coronoid pro of l ulna, 7thQ","Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type I or II with malunion",S52.045Q,S5204
S52045R,,"Nondisp fx of coronoid pro of l ulna, 7thR","Nondisplaced fracture of coronoid process of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S52.045R,S5204
S52045S,,"Nondisp fx of coronoid process of left ulna, sequela","Nondisplaced fracture of coronoid process of left ulna, sequela",S52.045S,S5204
S52046,,Nondisp fx of coronoid process of unspecified ulna,Nondisplaced fracture of coronoid process of unspecified ulna,S52.046,S5204
S52046A,,"Nondisp fx of coronoid process of unsp ulna, init","Nondisplaced fracture of coronoid process of unspecified ulna, initial encounter for closed fracture",S52.046A,S5204
S52046B,,"Nondisp fx of coronoid pro of unsp ulna, 7thB","Nondisplaced fracture of coronoid process of unspecified ulna, initial encounter for open fracture type I or II",S52.046B,S5204
S52046C,,"Nondisp fx of coronoid pro of unsp ulna, 7thC","Nondisplaced fracture of coronoid process of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52.046C,S5204
S52046D,,"Nondisp fx of coronoid pro of unsp ulna, 7thD","Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with routine healing",S52.046D,S5204
S52046E,,"Nondisp fx of coronoid pro of unsp ulna, 7thE","Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing",S52.046E,S5204
S52092A,,"Oth fracture of upper end of left ulna, init for clos fx","Other fracture of upper end of left ulna, initial encounter for closed fracture",S52.092A,S5209
S52046F,,"Nondisp fx of coronoid pro of unsp ulna, 7thF","Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52.046F,S5204
S52046G,,"Nondisp fx of coronoid pro of unsp ulna, 7thG","Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with delayed healing",S52.046G,S5204
S52046H,,"Nondisp fx of coronoid pro of unsp ulna, 7thH","Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type I or II with delayed healing",S52.046H,S5204
S52046J,,"Nondisp fx of coronoid pro of unsp ulna, 7thJ","Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S52.046J,S5204
S53024S,,"Posterior dislocation of right radial head, sequela","Posterior dislocation of right radial head, sequela",S53.024S,S5302
S52046K,,"Nondisp fx of coronoid pro of unsp ulna, 7thK","Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with nonunion",S52.046K,S5204
S52046M,,"Nondisp fx of coronoid pro of unsp ulna, 7thM","Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type I or II with nonunion",S52.046M,S5204
S52046N,,"Nondisp fx of coronoid pro of unsp ulna, 7thN","Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52.046N,S5204
S52046P,,"Nondisp fx of coronoid pro of unsp ulna, 7thP","Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for closed fracture with malunion",S52.046P,S5204
S52046Q,,"Nondisp fx of coronoid pro of unsp ulna, 7thQ","Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type I or II with malunion",S52.046Q,S5204
S52046R,,"Nondisp fx of coronoid pro of unsp ulna, 7thR","Nondisplaced fracture of coronoid process of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S52.046R,S5204
S52046S,,"Nondisp fx of coronoid process of unspecified ulna, sequela","Nondisplaced fracture of coronoid process of unspecified ulna, sequela",S52.046S,S5204
S5209,,Other fracture of upper end of ulna,Other fracture of upper end of ulna,S52.09,S520
S52091,,Other fracture of upper end of right ulna,Other fracture of upper end of right ulna,S52.091,S5209
S52091A,,"Oth fracture of upper end of right ulna, init for clos fx","Other fracture of upper end of right ulna, initial encounter for closed fracture",S52.091A,S5209
S52091B,,"Oth fx upper end of right ulna, init for opn fx type I/2","Other fracture of upper end of right ulna, initial encounter for open fracture type I or II",S52.091B,S5209
S52091C,,"Oth fx upper end of right ulna, init for opn fx type 3A/B/C","Other fracture of upper end of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52.091C,S5209
S52091D,,"Oth fx upper end of r ulna, subs for clos fx w routn heal","Other fracture of upper end of right ulna, subsequent encounter for closed fracture with routine healing",S52.091D,S5209
S52091E,,"Oth fx upr end r ulna, subs for opn fx type I/2 w routn heal","Other fracture of upper end of right ulna, subsequent encounter for open fracture type I or II with routine healing",S52.091E,S5209
S52091F,,"Oth fx upr end r ulna, 7thF","Other fracture of upper end of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52.091F,S5209
S52091G,,"Oth fx upper end of r ulna, subs for clos fx w delay heal","Other fracture of upper end of right ulna, subsequent encounter for closed fracture with delayed healing",S52.091G,S5209
S52091H,,"Oth fx upr end r ulna, subs for opn fx type I/2 w delay heal","Other fracture of upper end of right ulna, subsequent encounter for open fracture type I or II with delayed healing",S52.091H,S5209
S52091J,,"Oth fx upr end r ulna, 7thJ","Other fracture of upper end of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S52.091J,S5209
S52091K,,"Oth fx upper end of right ulna, subs for clos fx w nonunion","Other fracture of upper end of right ulna, subsequent encounter for closed fracture with nonunion",S52.091K,S5209
S52091M,,"Oth fx upper end r ulna, subs for opn fx type I/2 w nonunion","Other fracture of upper end of right ulna, subsequent encounter for open fracture type I or II with nonunion",S52.091M,S5209
S52091N,,"Oth fx upr end r ulna, 7thN","Other fracture of upper end of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52.091N,S5209
S52091P,,"Oth fx upper end of right ulna, subs for clos fx w malunion","Other fracture of upper end of right ulna, subsequent encounter for closed fracture with malunion",S52.091P,S5209
S52091Q,,"Oth fx upper end r ulna, subs for opn fx type I/2 w malunion","Other fracture of upper end of right ulna, subsequent encounter for open fracture type I or II with malunion",S52.091Q,S5209
S52091R,,"Oth fx upr end r ulna, 7thR","Other fracture of upper end of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S52.091R,S5209
S52091S,,"Other fracture of upper end of right ulna, sequela","Other fracture of upper end of right ulna, sequela",S52.091S,S5209
S52092B,,"Oth fx upper end of left ulna, init for opn fx type I/2","Other fracture of upper end of left ulna, initial encounter for open fracture type I or II",S52.092B,S5209
S52092C,,"Oth fx upper end of left ulna, init for opn fx type 3A/B/C","Other fracture of upper end of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52.092C,S5209
S52092D,,"Oth fx upper end of left ulna, subs for clos fx w routn heal","Other fracture of upper end of left ulna, subsequent encounter for closed fracture with routine healing",S52.092D,S5209
S52092E,,"Oth fx upr end l ulna, subs for opn fx type I/2 w routn heal","Other fracture of upper end of left ulna, subsequent encounter for open fracture type I or II with routine healing",S52.092E,S5209
S52092F,,"Oth fx upr end l ulna, 7thF","Other fracture of upper end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52.092F,S5209
S52092G,,"Oth fx upper end of left ulna, subs for clos fx w delay heal","Other fracture of upper end of left ulna, subsequent encounter for closed fracture with delayed healing",S52.092G,S5209
S52092H,,"Oth fx upr end l ulna, subs for opn fx type I/2 w delay heal","Other fracture of upper end of left ulna, subsequent encounter for open fracture type I or II with delayed healing",S52.092H,S5209
S52092J,,"Oth fx upr end l ulna, 7thJ","Other fracture of upper end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S52.092J,S5209
S52092K,,"Oth fx upper end of left ulna, subs for clos fx w nonunion","Other fracture of upper end of left ulna, subsequent encounter for closed fracture with nonunion",S52.092K,S5209
S53411,,Radiohumeral (joint) sprain of right elbow,Radiohumeral (joint) sprain of right elbow,S53.411,S5341
V9186,,Oth injury due to oth accident to (nonpowered) inflatbl crft,Other injury due to other accident to (nonpowered) inflatable craft,V91.86,V918
S52092M,,"Oth fx upper end l ulna, subs for opn fx type I/2 w nonunion","Other fracture of upper end of left ulna, subsequent encounter for open fracture type I or II with nonunion",S52.092M,S5209
S52092N,,"Oth fx upr end l ulna, 7thN","Other fracture of upper end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52.092N,S5209
S52092P,,"Oth fx upper end of left ulna, subs for clos fx w malunion","Other fracture of upper end of left ulna, subsequent encounter for closed fracture with malunion",S52.092P,S5209
S52092Q,,"Oth fx upper end l ulna, subs for opn fx type I/2 w malunion","Other fracture of upper end of left ulna, subsequent encounter for open fracture type I or II with malunion",S52.092Q,S5209
S52092R,,"Oth fx upr end l ulna, 7thR","Other fracture of upper end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S52.092R,S5209
S52092S,,"Other fracture of upper end of left ulna, sequela","Other fracture of upper end of left ulna, sequela",S52.092S,S5209
S52099,,Other fracture of upper end of unspecified ulna,Other fracture of upper end of unspecified ulna,S52.099,S5209
S52102,,Unspecified fracture of upper end of left radius,Unspecified fracture of upper end of left radius,S52.102,S5210
S52099A,,"Oth fracture of upper end of unsp ulna, init for clos fx","Other fracture of upper end of unspecified ulna, initial encounter for closed fracture",S52.099A,S5209
S52099B,,"Oth fx upper end of unsp ulna, init for opn fx type I/2","Other fracture of upper end of unspecified ulna, initial encounter for open fracture type I or II",S52.099B,S5209
S52099C,,"Oth fx upper end of unsp ulna, init for opn fx type 3A/B/C","Other fracture of upper end of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52.099C,S5209
S52099D,,"Oth fx upper end of unsp ulna, subs for clos fx w routn heal","Other fracture of upper end of unspecified ulna, subsequent encounter for closed fracture with routine healing",S52.099D,S5209
S52099E,,"Oth fx upr end unsp ulna, 7thE","Other fracture of upper end of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing",S52.099E,S5209
S52099F,,"Oth fx upr end unsp ulna, 7thF","Other fracture of upper end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52.099F,S5209
S52099G,,"Oth fx upper end of unsp ulna, subs for clos fx w delay heal","Other fracture of upper end of unspecified ulna, subsequent encounter for closed fracture with delayed healing",S52.099G,S5209
S52099H,,"Oth fx upr end unsp ulna, 7thH","Other fracture of upper end of unspecified ulna, subsequent encounter for open fracture type I or II with delayed healing",S52.099H,S5209
S52099J,,"Oth fx upr end unsp ulna, 7thJ","Other fracture of upper end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S52.099J,S5209
S52099K,,"Oth fx upper end of unsp ulna, subs for clos fx w nonunion","Other fracture of upper end of unspecified ulna, subsequent encounter for closed fracture with nonunion",S52.099K,S5209
S52099M,,"Oth fx upr end unsp ulna, 7thM","Other fracture of upper end of unspecified ulna, subsequent encounter for open fracture type I or II with nonunion",S52.099M,S5209
V9227,,Drown due to being washed overboard from water-skis,Drowning and submersion due to being washed overboard from water-skis,V92.27,V922
S52099N,,"Oth fx upr end unsp ulna, 7thN","Other fracture of upper end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52.099N,S5209
S52099P,,"Oth fx upper end of unsp ulna, subs for clos fx w malunion","Other fracture of upper end of unspecified ulna, subsequent encounter for closed fracture with malunion",S52.099P,S5209
S52099Q,,"Oth fx upr end unsp ulna, 7thQ","Other fracture of upper end of unspecified ulna, subsequent encounter for open fracture type I or II with malunion",S52.099Q,S5209
S52099R,,"Oth fx upr end unsp ulna, 7thR","Other fracture of upper end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S52.099R,S5209
S52099S,,"Other fracture of upper end of unspecified ulna, sequela","Other fracture of upper end of unspecified ulna, sequela",S52.099S,S5209
S5210,,Unspecified fracture of upper end of radius,Unspecified fracture of upper end of radius,S52.10,S521
S52101A,,"Unsp fracture of upper end of right radius, init for clos fx","Unspecified fracture of upper end of right radius, initial encounter for closed fracture",S52.101A,S5210
S52101B,,"Unsp fx upper end of r radius, init for opn fx type I/2","Unspecified fracture of upper end of right radius, initial encounter for open fracture type I or II",S52.101B,S5210
S52101C,,"Unsp fx upper end of r radius, init for opn fx type 3A/B/C","Unspecified fracture of upper end of right radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52.101C,S5210
S52101D,,"Unsp fx upper end of r radius, subs for clos fx w routn heal","Unspecified fracture of upper end of right radius, subsequent encounter for closed fracture with routine healing",S52.101D,S5210
S52101E,,"Unsp fx upr end r rad, subs for opn fx type I/2 w routn heal","Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type I or II with routine healing",S52.101E,S5210
S52101F,,"Unsp fx upr end r rad, 7thF","Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52.101F,S5210
S52101G,,"Unsp fx upper end of r radius, subs for clos fx w delay heal","Unspecified fracture of upper end of right radius, subsequent encounter for closed fracture with delayed healing",S52.101G,S5210
S52121E,,"Disp fx of head of r rad, 7thE","Displaced fracture of head of right radius, subsequent encounter for open fracture type I or II with routine healing",S52.121E,S5212
S52101H,,"Unsp fx upr end r rad, subs for opn fx type I/2 w delay heal","Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type I or II with delayed healing",S52.101H,S5210
S52101J,,"Unsp fx upr end r rad, 7thJ","Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S52.101J,S5210
S52101K,,"Unsp fx upper end of r radius, subs for clos fx w nonunion","Unspecified fracture of upper end of right radius, subsequent encounter for closed fracture with nonunion",S52.101K,S5210
S52101M,,"Unsp fx upper end r rad, subs for opn fx type I/2 w nonunion","Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type I or II with nonunion",S52.101M,S5210
S52101N,,"Unsp fx upr end r rad, 7thN","Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52.101N,S5210
S52101P,,"Unsp fx upper end of r radius, subs for clos fx w malunion","Unspecified fracture of upper end of right radius, subsequent encounter for closed fracture with malunion",S52.101P,S5210
S52101Q,,"Unsp fx upper end r rad, subs for opn fx type I/2 w malunion","Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type I or II with malunion",S52.101Q,S5210
S52101R,,"Unsp fx upr end r rad, 7thR","Unspecified fracture of upper end of right radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S52.101R,S5210
S52111,,Torus fracture of upper end of right radius,Torus fracture of upper end of right radius,S52.111,S5211
S52102A,,"Unsp fracture of upper end of left radius, init for clos fx","Unspecified fracture of upper end of left radius, initial encounter for closed fracture",S52.102A,S5210
S52102B,,"Unsp fx upper end of left radius, init for opn fx type I/2","Unspecified fracture of upper end of left radius, initial encounter for open fracture type I or II",S52.102B,S5210
S52102C,,"Unsp fx upper end left radius, init for opn fx type 3A/B/C","Unspecified fracture of upper end of left radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52.102C,S5210
S52102D,,"Unsp fx upper end left radius, subs for clos fx w routn heal","Unspecified fracture of upper end of left radius, subsequent encounter for closed fracture with routine healing",S52.102D,S5210
S52102E,,"Unsp fx upr end l rad, subs for opn fx type I/2 w routn heal","Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type I or II with routine healing",S52.102E,S5210
S52102F,,"Unsp fx upr end l rad, 7thF","Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52.102F,S5210
S52102G,,"Unsp fx upper end left radius, subs for clos fx w delay heal","Unspecified fracture of upper end of left radius, subsequent encounter for closed fracture with delayed healing",S52.102G,S5210
S52102H,,"Unsp fx upr end l rad, subs for opn fx type I/2 w delay heal","Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type I or II with delayed healing",S52.102H,S5210
S52102J,,"Unsp fx upr end l rad, 7thJ","Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S52.102J,S5210
S52102K,,"Unsp fx upper end left radius, subs for clos fx w nonunion","Unspecified fracture of upper end of left radius, subsequent encounter for closed fracture with nonunion",S52.102K,S5210
S52102M,,"Unsp fx upr end l rad, subs for opn fx type I/2 w nonunion","Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type I or II with nonunion",S52.102M,S5210
S52102N,,"Unsp fx upr end l rad, 7thN","Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S52.102N,S5210
S52102P,,"Unsp fx upper end left radius, subs for clos fx w malunion","Unspecified fracture of upper end of left radius, subsequent encounter for closed fracture with malunion",S52.102P,S5210
S52102Q,,"Unsp fx upr end l rad, subs for opn fx type I/2 w malunion","Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type I or II with malunion",S52.102Q,S5210
S52102R,,"Unsp fx upr end l rad, 7thR","Unspecified fracture of upper end of left radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S52.102R,S5210
S52102S,,"Unspecified fracture of upper end of left radius, sequela","Unspecified fracture of upper end of left radius, sequela",S52.102S,S5210
S52109,,Unspecified fracture of upper end of unspecified radius,Unspecified fracture of upper end of unspecified radius,S52.109,S5210
S52109A,,"Unsp fracture of upper end of unsp radius, init for clos fx","Unspecified fracture of upper end of unspecified radius, initial encounter for closed fracture",S52.109A,S5210
S52109B,,"Unsp fx upper end of unsp radius, init for opn fx type I/2","Unspecified fracture of upper end of unspecified radius, initial encounter for open fracture type I or II",S52.109B,S5210
S52109C,,"Unsp fx upper end unsp radius, init for opn fx type 3A/B/C","Unspecified fracture of upper end of unspecified radius, initial encounter for open fracture type IIIA, IIIB, or IIIC",S52.109C,S5210
S52109D,,"Unsp fx upper end unsp radius, subs for clos fx w routn heal","Unspecified fracture of upper end of unspecified radius, subsequent encounter for closed fracture with routine healing",S52.109D,S5210
S52109E,,"Unsp fx upr end unsp rad, 7thE","Unspecified fracture of upper end of unspecified radius, subsequent encounter for open fracture type I or II with routine healing",S52.109E,S5210
S52109F,,"Unsp fx upr end unsp rad, 7thF","Unspecified fracture of upper end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S52.109F,S5210
S52109G,,"Unsp fx upper end unsp radius, subs for clos fx w delay heal","Unspecified fracture of upper end of unspecified radius, subsequent encounter for closed fracture with delayed healing",S52.109G,S5210
S52109H,,"Unsp fx upr end unsp rad, 7thH","Unspecified fracture of upper end of unspecified radius, subsequent encounter for open fracture type I or II with delayed healing",S52.109H,S5210
S52109J,,"Unsp fx upr end unsp rad, 7thJ","Unspecified fracture of upper end of unspecified radius, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S52.109J,S5210
S52109K,,"Unsp fx upper end unsp radius, subs for clos fx w nonunion","Unspecified fracture of upper end of unspecified radius, subsequent encounter for closed fracture with nonunion",S52.109K,S5210
